athlete,session_date,activity_id,session_type,total_distance_m,total_pl,sprint_efforts,max_vel_pct_max,pl_1d_fwd,pl_1d_side,pl_1d_up,pl_2d,pl_slow,tot_acc_load
BARKOK,2026-03-19,20260317232402,Training,5625,508,1,73,216,205,328,332,255,1736
BOUGRINE,2026-03-19,20260317232402,Training,4504,444,1,134,185,193,279,297,263,1468
Baadi,2026-03-19,20260317232402,Training,5069,610,0,91,294,239,372,423,357,1973
Benoun,2026-03-19,20260317232402,Training,4021,383,0,94,191,164,219,281,225,1423
Dahak,2026-03-19,20260317232402,Training,4370,417,1,94,194,169,257,285,228,1564
ELAMLOUD,2026-03-19,20260317232402,Training,5504,576,0,68,279,222,363,394,290,2046
ENNAFATI,2026-03-19,20260317232402,Training,5172,430,4,79,222,153,268,297,207,1682
Ferdaoussi,2026-03-19,20260317232402,Training,5700,531,1,102,203,208,368,323,270,2088
HALIMI,2026-03-19,20260317232402,Training,4989,524,0,69,202,220,348,332,270,1600
KHAMMAS,2026-03-19,20260317232402,Training,5019,496,2,75,194,201,335,310,257,1737
Khafifi,2026-03-19,20260317232402,Training,3859,368,0,86,173,185,198,280,233,1542
MAKAHASI,2026-03-19,20260317232402,Training,5418,551,3,100,279,217,328,393,295,1823
MATHIAS,2026-03-19,20260317232402,Training,4110,439,1,72,185,193,274,297,254,1470
MCHAKHCHAKH,2026-03-19,20260317232402,Training,4050,456,0,90,231,178,273,324,286,1776
MOUSSA,2026-03-19,20260317232402,Training,5304,631,0,67,256,261,405,409,322,1785
Maamouri,2026-03-19,20260317232402,Training,4912,509,3,99,221,208,325,337,268,1693
SAKHOU,2026-03-19,20260317232402,Training,4421,595,2,84,300,268,333,443,397,1758
SHARARH,2026-03-19,20260317232402,Training,4657,482,1,75,218,199,300,328,259,1577
khafi,2026-03-19,20260317232402,Training,3925,367,0,114,173,146,232,250,198,1507
moukadam,2026-03-19,20260317232402,Training,4265,371,0,82,173,161,225,262,243,1544
othmen,2026-03-19,20260317232402,Training,5110,531,2,92,188,215,374,316,240,1690
